JSM,ENDERECO,BAIRRO,CEP,TELEFONE,MUNICIPIO_JSM,UF_JSM
"30/22 - BRASILANDIA","AV. EUVIRO MANCINI, 530","CENTRO",,"67 35461301","BRASILANDIA","MS"
"30/28 - CASSILANDIA","RUA LAUDEMIRO FERREIRA DE FREITAS  NR 134","CENTRO",,"35966952","CASSILANDIA","MS"
"30/168 - CHAPADAO DO SUL","AVENIDA QUATRO Nº. 230, SALA 17 ""TERMINAL RODOVIARIO""","CENTRO",,"67 35623351","CHAPADAO DO SUL","MS"
"30/101 - COSTA RICA","RUA JOSE PEREIRA DA SILVA 373 (PRÉDIO DO CARTÓRIO ELEITORAL)","CENTRO",,"67 998914279","COSTA RICA","MS"
"30/43 - INOCENCIA","TERMINAL RODOVIARIO MUNICIPAL, S/N","CENTRO",,"67 35742329","INOCENCIA","MS"
"30/62 - PARANAIBA","AVENIDA AUGUSTO CORREIA DA COSTA, 755","CENTRO",,"67 98104-3788","PARANAIBA","MS"
"30/186 - TRES LAGOAS","RUA JOAO CARRATO, 703","CENTRO",,"6739291809","TRES LAGOAS","MS"
"30/7 - ANASTACIO","AVENIDA MANOEL MURTINHO - 1879","CENTRO","79210000","(67) 3245-0087","ANASTACIO","MS"
"30/11 - AQUIDAUANA","RUA ESTEVÃO ALVES CORREA, 1974 - ESTAÇÃO RODOVIÁRIA","ALTO",,"(67) 3241-6926","AQUIDAUANA","MS"
"30/20 - BELA VISTA","RUA SANTO AFONSO, 660","CENTRO",,"(67) 3932-1028","BELA VISTA","MS"
"30/98 - BODOQUENA","TRAVESSA BELA VISTA, S/Nº","CENTRO",,"(67) 3268-1293","BODOQUENA","MS"
"30/21 - BONITO","RUA PILAD REBUA, 1780 CP 05","CENTRO",,"(67) 99228-5756","BONITO","MS"
"30/27 - CARACOL","RUA BALDOMERO CUENGA, 609","CENTRO",,"(67) 3495-1110","CARACOL","MS"
"30/129 - DOIS IRMAOS DO BURITI","AV. REGINALDO LEMES DA SILVA, 597 - CP 13","CENTRO","79215000","(67) 3243-1808","DOIS IRMAOS DO BURITI","MS"
"30/40 - GUIA LOPES DA LAGUNA","RUA CORONEL JUVÊNCIO Nº 601","CENTRO",,"(67) 3269-2896","GUIA LOPES DA LAGUNA","MS"
"30/49 - JARDIM","AV. CORONEL STUCK, S/Nº , CENTRO COMERCIAL RAMEZ TEBET","CENTRO",,"(67) 3251-1769","JARDIM","MS"
"30/55 - MIRANDA","RUA DO CARMO, 510","CENTRO",,"(67) 3242-2113","MIRANDA","MS"
"30/68 - PORTO MURTINHO","PRAÇA THOMAZ LARANGEIRAS Nº 52 - ANTIGA RECEITA FEDERAL","CENTRO",,"(67) 3287-4535","PORTO MURTINHO","MS"
"30/57 - NIOAQUE","TERMINAL RODOVIÁRIO - BOX 01","CENTRO",,"(67) 99634-9384 (Vivo)","NIOAQUE","MS"
"30/194 - GAUCHA DO NORTE","RUA CASCAVEL Nº 250 - 78.875-000","CENTRO",,"66 35821135","GAUCHA DO NORTE","MT"
"30/15 - BARAO DE MELGACO","AV. AUGUSTO LEVERGER, 45","CENTRO",,"65 33311179,36244859,999090346","BARAO DE MELGACO","MT"
"30/133 - CAMPO VERDE","AVENIDA ARNALDO ECKERT, 170","CAMPO REAL II","78840000","66 34191011, 992019561","CAMPO VERDE","MT"
"30/29 - CHAPADA DOS GUIMARAES","AVENIDA HOMERO MOUSER Nº 250 - CENTRO CIDADANIA","CENTRO","78195000","65 33012050, 992358024","CHAPADA DOS GUIMARAES","MT"
"30/33 - CUIABA","RUA CARLOS GOMES, 168","ARAES",,"65 33133046, 998086005","CUIABA","MT"
"30/106 - NOVA BRASILANDIA","AV. VEREADOR GENIVAL NUNES ARAÚJO, 993, NOVA BRASILÂNDIA","CENTRO",,"65 33851277, 984046007","NOVA BRASILANDIA","MT"
"30/172 - PLANALTO DA SERRA","PRACA SAO CARLOS, 755","CENTRO","78855000","33286101","PLANALTO DA SERRA","MT"
"30/64 - POCONE","AV, DOM AQUINO, Nº 272 ","CENTRO","78175000","33451952","POCONE","MT"
"30/77 - SANTO ANTONIO DO LEVERGER","PRAÇA ANTONIO GALDINO DELGADO Nº 243 (EM FRENTE AO MINI ESTÁDIO)","CENTRO",,"65 33411020, 992366354","SANTO ANTONIO DO LEVERGER","MT"
"30/13 - ARENAPOLIS","RUA PRESIDENTE COSTA E SILVA, 477","VILA NOVA","78420000","(65) 3343 1105 ou 9638 1588","ARENAPOLIS","MT"
"30/34 - DIAMANTINO","RUA QUINTINO BOCAIUVA, S/N","CENTRO","78400000","(65) 3336 2742","DIAMANTINO","MT"
"30/58 - NOBRES","RUA MIRANDA, S/NR (CENTRO DE CIDADANIA)","PONTE DE FERRO ","78460000","(65) 3376 4200","NOBRES","MT"
"30/59 - NORTELANDIA","AV. NICOLAU GOMES DE SOUZA, Nº 720","DA PONTE","78430000","99173070","NORTELANDIA","MT"
"30/173 - NOVA MARINGA","AV. RAMOS B. ZANCHET, S/N","PREFEITURA MUNICIPAL","78445000","33571238","NOVA MARINGA","MT"
"30/132 - NOVA OLIMPIA","AV. MATO GROSSO, 175","CENTRO ",,"65 3332 1859","NOVA OLIMPIA","MT"
"30/112 - SAO JOSE DO RIO CLARO","RUA SÃO FRANCISCO, 412","NOVO HORIZONTE",,"65 33861986","SAO JOSE DO RIO CLARO","MT"
"30/163 - SANTO AFONSO","AV. PEDRO ALVARES CABRAL, 155","PREFEITURA MINICIPAL","78425000","33121072","SANTO AFONSO","MT"
"30/94 - TANGARA DA SERRA","AVENIDA BRASIL, 2350-N JARDIM EUROPA- FINAL DA AVENIDA"," JARDIM EUROPA",,"3311 9632","TANGARA DA SERRA","MT"
"30/188 - SAPEZAL","AV DO JAU, Nº 1850","JARDIM IPE",,"6533831752","SAPEZAL","MT"
"30/135 - LUCAS DO RIO VERDE","AV PARANA, 766 S, SALA 06","CENTRO","78455000","(65)35482520","LUCAS DO RIO VERDE","MT"
"30/142 - NOVA MUTUM","Avenida das seriemas n 1355   Nova Mutum/MT CEP- 78450000","Residencial das acacias",,"(65)3308-5400 Ram 5504 ou 5503","NOVA MUTUM","MT"
"30/185 - NOVA UBIRATA","AVENIDA TANCREDO NEVES Nº 1551","CENTRO",,"(66) 3579-1486","NOVA UBIRATA","MT"
"30/139 - SINOP","AVENIDA DAS ACACIAS Nº 280","JARDIM BOTANICO","78550004","(66)35311021 RAMAL 8416","SINOP","MT"
"30/137 - SORRISO","Rua ato Grosso, 2458","CENTRO",,"6639078004","SORRISO","MT"
"30/136 - TAPURAH","AVENIDA ROMUALDO ALLIEVI, Nº 1671 (ANTIGA ESCOLA CÂNDIDO PORTINARI)","CENTRO",,"(66)35472415","TAPURAH","MT"
"30/190 - FELIZ NATAL","RUA FRANCISCO OLIVEIRA CALDEIRA, 374 N","CENTRO",,"(66)35851866","FELIZ NATAL","MT"
"30/193 - ITANHANGA","RUA FLORIANÓPOLIS, N°225    CEP 78579000","CENTRO",,"(66)35781068","ITANHANGA","MT"
"30/150 - ALTA FLORESTA","RUA DOS ESPORTES, 25, ANEXO AO TIRO DE GUERRA","SETOR - A","78580000","39031174","ALTA FLORESTA","MT"
"30/147 - GUARANTA DO NORTE","AVENIDA ALCIDES MORENO CAPELINE          Nº 1158","CENTRO","78520000","66-35521097","GUARANTA DO NORTE","MT"
"30/146 - MATUPA","AVENIDA HERMINIO OMETTO, Nº 01   PREFEITURA MUNICIPÁL","ZE-022","78525000","35953131","MATUPA","MT"
"30/174 - NOVA BANDEIRANTES","AVENIDA COMENDADOR LUIZ MENEGHEL, 62","CENTRO",,"66-3572-1468","NOVA BANDEIRANTES","MT"
"30/148 - NOVA CANAA DO NORTE","AVENIDA SÃO PAULO 89","CENTRO",,"35511538","NOVA CANAA DO NORTE","MT"
"30/161 - NOVA GUARITA","AVENIDA DOS MIGRANTES - TRAVESSA SANTO ANTÔNIO, 30","CENTRO",,"66-3574-1376","NOVA GUARITA","MT"
"30/151 - PARANAITA","RUA ALCEU ROSSI S/N","CENTRO","78590000","66-3563-2729","PARANAITA","MT"
"30/184 - CARLINDA","AVENIDA ITAÚBAS, S/Nº","CENTRO",,"(66) 3525-1369","CARLINDA","MT"
"30/160 - ARIPUANA","Rua 7 de setembro","CENTRO",,"35653906","ARIPUANA","MT"
"30/153 - BRASNORTE","RUA CURITIBA NR 1080","CENTRO",,"(66) 35923200 / (66) 999426745","BRASNORTE","MT"
"30/182 - COTRIGUACU","AV HENRIQUE XAVIER RODOVALHO, 466","CENTRO",,"35551999","COTRIGUACU","MT"
"30/157 - JUINA","TRAVESSA ARGEU GOMES 151N","MODULO 01",,"66 35663927","JUINA","MT"
"30/158 - JURUENA","AVENIDA 4 DE JULHO, N 466  - ANTIGA SECRETARIA DE AGRICULTURA","CENTRO","78340000","(66)35531400/(66)984021461","JURUENA","MT"
"30/155 - NOVO HORIZONTE DO NORTE","AV. MESTRE FALCAO, 373","CENTRO","78570000","35591322","NOVO HORIZONTE DO NORTE","MT"
"30/179 - TABAPORA","AV COMENDADOR JOSÉ PEDRO DIAS, 47","CENTRO","78563000","35571222","TABAPORA","MT"
"30/154 - PORTO DOS GAUCHOS","PRAÇA LEOPOLDINA WILKE, 19 CAIXA POSTAL 11","CENTRO",,"35262000","PORTO DOS GAUCHOS","MT"
"5/127 - TAIACU","AV JOSE BELIZARIO VIEIRA 131","CENTRO","14725000","32757629","TAIACU","SP"
"5/128 - TAIUVA","RUA CESARIO BASTOS S/N        TERMINAL RODOVIARIO","CENTRO","14720000","32461366","TAIUVA","SP"
"5/131 - TAQUARITINGA","RUA CAMPOS SALLES NR 408","CENTRO","15900000","981766547","TAQUARITINGA","SP"
"5/136 - VISTA ALEGRE DO ALTO","RUA EMILIO SANDOLTH, 278","CENTRO","15920000","32778300","VISTA ALEGRE DO ALTO","SP"
"5/208 - TAQUARAL","RUA DO CAFEZAL, 530","CENTRO","14765000","1639589200","TAQUARAL","SP"
"5/2 - ALTAIR","PRAÇA JOAQUIM CARLOS GARCIA, 384","CENTRO","15430000","38891130","ALTAIR","SP"
"5/30 - COLINA","RUA TREZE DE MAIO Nº 366","CENTRO","14770000","17-3341-9523","COLINA","SP"
"5/31 - COLOMBIA","RUA ANTONIO PRADO, 1161","CENTRO","14795000","33358532","COLOMBIA","SP"
"5/44 - GUARACI","RUA CASEMIRO CESAR, 522","CENTRO","15420000","32859999","GUARACI","SP"
"5/51 - IPUA","RUA INDIANESIO ARLINDO LEONETTI  46","CENTRO","14610000","999994861","IPUA","SP"
"5/59 - JABORANDI","RUA COLINA, 900","CENTRO",,"33471254","JABORANDI","SP"
"5/68 - MIGUELOPOLIS","PRAÇA VOVO MARIQUINHA, 100","CENTRO",,"1638356637","MIGUELOPOLIS","SP"
"5/73 - MONTE AZUL PAULISTA","PRAÇA RIO BRANCO, 70","CENTRO","14730000","33619500","MONTE AZUL PAULISTA","SP"
"5/74 - MORRO AGUDO","RUA INÁCIO FRANCO, 736","CENTRO","14640000","38513006","MORRO AGUDO","SP"
"5/124 - SEVERINIA","RUA CAPITÃO AUGUSTO DE ALMEIDA, 332","CENTRO","14735000","38173300","SEVERINIA","SP"
"5/132 - TERRA ROXA","RUA CORONEL WALTER, 06","CENTRO","14745000","33959600","TERRA ROXA","SP"
"5/189 - VOTUPORANGA","RUA MINAS GERAIS, 3612- CEP:15500003","CENTRO","15500003","(17) 3421-7530","VOTUPORANGA","SP"
"5/135 - VIRADOURO","PRAÇA FRANCISCO BRAGA, 56    SALA 1","CENTRO","14740000","33928844","VIRADOURO","SP"
"5/142 - ESTRELA DOESTE","RUA BAHIA, 447","CENTRO",,"(17)3833-9419","ESTRELA D'OESTE","SP"
"5/163 - SANTANA DA PONTE PENSA","RUA JOAO ORTEGA ALCOLEA","CENTRO",,"36921149","SANTANA DA PONTE PENSA","SP"
"27/19 - BOM JARDIM","AV JOSE PEDRO VASCONCELOS, 2142","CENTRO",,"98984659666","BOM JARDIM","MA"
"27/11 - BACABAL","AV BARÃO DO RIO BRANCO, S/N","CENTRO","65700000","99 982030296","BACABAL","MA"
"27/24 - CAJARI","AV SENADOR VITORINO FREIRE, 513","CENTRO","65210000","91196235","CAJARI","MA"
"27/38 - ESPERANTINOPOLIS","RUA GETULIO VARGAS NR 435","CENTRO",,"99 988618933","ESPERANTINOPOLIS","MA"
"27/52 - ITAPECURU MIRIM","PRACA GOMES DE SOUSA, S/NR","CENTRO","65485000","991659401","ITAPECURU MIRIM","MA"
"5/160 - SANTA FE DO SUL","RUA ONZE, 1220","CENTRO","15775000","36314942","SANTA FE DO SUL","SP"
"15/9 - CAMPO DO TENENTE","R MIGUEL KOMARCHEWSKI, 900","CENTRO",,"36281313","CAMPO DO TENENTE","PR"
"27/57 - LAGO VERDE","LAGO VERDE MA","RUA AVENIDA PRESIDENTE KENNEDY",,"9988309052","LAGO VERDE","MA"
"27/66 - MONCAO","AV RICARDO LEMOS, NR 484","CENTRO","65360000","36644436","MONCAO","MA"
"27/78 - PAULO RAMOS","RUA 07 DE SETEMBRO S/N","CENTRO",,"981377375","PAULO RAMOS","MA"
"27/80 - PENALVA","Rua Getulio Vargas, sn","CENTRO",,"98982260134","PENALVA","MA"
"25/10 - AQUIRAZ","RUA CAPITAO MOR,  NR 37  AQUIRAZ-CE","CENTRO","61700000","85 986662622","AQUIRAZ","CE"
"25/37 - CAUCAIA","R. José da Rocha Sales, 194 ","Centro",,"8533426330","CAUCAIA","CE"
"25/172 - EUSEBIO","AV EUZEBIO DE QUEIROZ, 4986, INTERIOR DO MERCADO CENTRAL","CENTRO",,"(085) 32603824","EUSEBIO","CE"
"25/142 - FORTALEZA (PARANGABA)","AV PROF GOMES BRASIL, 555-SALA 01,ALTOS,TERMINAL DA LAGOA NA PARANGABA","PARANGABA",,"32258530","FORTALEZA","CE"
"25/143 - FORTALEZA (ANTONIO BEZERRA)","CENTRO SOCIAL URBANO GOV CÉSAR CALS  AV.CEL MATOS DOURADO S/N","ANTONIO BEZERRA",,"(85)3105-22-08","FORTALEZA","CE"
"25/144 - FORTALEZA (MESSEJANA)","RUA PADRE PEDRO DE ALENCAR, 789, SER VI","MESSEJANA","60840010","34883185","FORTALEZA","CE"
"25/44 - FORTALEZA (PAULO SARASATE)","RUA IDELFONSO ALBANO,2050, 2º PISO, SETOR 01, GINASIO PAULO SARASATE","ALDEOTA",,"85 34521679","FORTALEZA","CE"
"25/180 - PINDORETAMA","RUA MARECHAL CASTELO BRANCO S/N SETAS","CENTRO","62860000","33751333","PINDORETAMA","CE"
"25/145 - FORTALEZA PASSEIO PUBLICO","DESATIVADA","DESATIVADA",,"Desativa","FORTALEZA","CE"
"5/20 - BURITIZAL","R. SÃO PAULO, 131","CENTRO","14570000","37519100","BURITIZAL","SP"
"5/5 - ARAMINA","RUA FRANCISCO GAMA 200","CENTRO","14550000","37527041","ARAMINA","SP"
"5/149 - MACEDONIA","PRAÇA JOSÉ PRINCI, 449","CENTRO",,"(17) 3849-1162","MACEDONIA","SP"
"5/150 - MERIDIANO","RUA LUIZA FELTRIN GUILHEN, 1716","CENTRO (PAÇO MUNICIPAL)","15625000","(17) 3475-1116","MERIDIANO","SP"
"5/151 - MIRA ESTRELA",".RUA MANOEL ESTRELA MATIEL, 685","CENTRO","15580000","(17) 3846-1163","MIRA ESTRELA","SP"
"5/157 - POPULINA","RUA 13 DE MAIO, 1211","CENTRO",,"(17) 3639-9020","POPULINA","SP"
"5/168 - SAO JOAO DAS DUAS PONTES","RUA IRMAOS BRANDINI, 503","CENTRO",,"17 34811277","SAO JOAO DAS DUAS PONTES","SP"
"5/181 - TURMALINA","AVENIDA SANTA HELENA, 200","CENTRO",,"(17) 3667-1156","TURMALINA","SP"
"5/196 - PONTALINDA","RUA TUPINAMBÁS, 1091","CENTRO","15718000","(17) 3699-1247 / 3699-1249","PONTALINDA","SP"
"5/210 - OUROESTE","RUA BRÁS CUBAS, 1325","CENTRO","15685000","(17) 3843-1427","OUROESTE","SP"
"5/212 - VITORIA BRASIL","RUA DOUTOR NUNES, 680 ","CENTRO","15713000","(17) 3642-9000","VITORIA BRASIL","SP"
"5/235 - GENERAL SALGADO","NADIR GARCIA, 812","CENTRO",,"(17) 3832-3373","GENERAL SALGADO","SP"
"5/238 - NOVA CASTILHO","RUA SETE DE SETEMBRO, 282","CENTRO",,"(17) 3831-7090","NOVA CASTILHO","SP"
"5/239 - SAO JOAO DE IRACEMA","Rua Teodomiro josé da costa","CENTRO",,"1738471421","SAO JOAO DE IRACEMA","SP"
"25/58 - IPU","Avenida Milton Carvalho ,371","centro",,"8899558130","IPU","CE"
"25/141 - VICOSA DO CEARA","RUA LAMARTINE NOGUEIRA, S/Nº - ANEXO - SECRETARIA DE ACAO SOCIAL","CENTRO","62300000","(88) 3632-1278","VICOSA DO CEARA","CE"
"25/34 - CARNAUBAL","RUA SIMPLÍCIO DAMASCENO, S/N (SHOPPING DO CIDADÃO)","CENTRO","62375000","(88) 997124320","CARNAUBAL","CE"
"25/117 - RERIUTABA","RUA ALAIDE RAMOS, S/N","CENTRO",,"(88) 99993-6151","RERIUTABA","CE"
"25/50 - GUARACIABA DO NORTE","RUA MONSENHOR FURTADO, Nº 55","CENTRO","62380000","(88) 99653-1313","GUARACIABA DO NORTE","CE"
"25/134 - TIANGUA","RUA CAPITÃO ODILON AGUIAR, 431","CENTRO",,"(88) 997293273","TIANGUA","CE"
"25/150 - VARJOTA","RUA CLOVES XIMENES","CENTRO","62265000","(88) 997779955","VARJOTA","CE"
"25/174 - CROATA","RUA TORQUATO BRAZ, S/N","CENTRO",,"(88) 99316-4656","CROATA","CE"
"5/184 - URANIA","RUA RECIFE, Nº S/N","NOSSA SENHORA DE FÁTIMA",,,"URANIA","SP"
"5/237 - MARINOPOLIS",".RUA SAO PAULO - 478 ",".CENTRO",,"3695-11-01 / RAMAL 210","MARINOPOLIS","SP"
"25/41 - CRATEUS",".RUA BARÃO DO RIO BRANCO, 1679",".FÁTIMA I",,"(88) 992577685","CRATEUS","CE"
"25/59 - IPUEIRAS",".RUA PADRE ANGELIM 120","CENTRO","62230000"," (88) 9 9972-8655","IPUEIRAS","CE"
"25/56 - INDEPENDENCIA",".RUA ALEXANDRE BONFIM, 157","CENTRO","63640000","(88) 9 9273-5915","INDEPENDENCIA","CE"
"25/103 - PARAMBU","RUA  ANTONIO BENICIO PINHEIRO, 70","CENTRO","63680000","(88) 9 9764-8422","PARAMBU","CE"
"30/114 - SANTA TEREZINHA","RUA 25, S/N (PREFEITURA MUNICIPAL)","CENTRO",,"35581414","SANTA TEREZINHA","MT"
"30/93 - SAO FELIX DO ARAGUAIA","AV. ARAGUAIA  NR 248 - PREFEITURA MUNICIPAL","CENTRO","78670000","35221632","SAO FELIX DO ARAGUAIA","MT"
"30/191 - CONFRESA","RUA 13 DE MAIO,  NR 178 CX POSTAL 75","CENTRO","78652000","35642050","CONFRESA","MT"
"23/61 - FAGUNDES","Rua Quebra Quilos, Anexo a Secretaria de Educação e Ação social","CENTRO",,"8387909117","FAGUNDES","PB"
"23/62 - FREI MARTINHO","RUA MANOEL FRANCISCO DIAS FILHO, 50, CEP 58.195-000","CENTRO",,"83 988417258","FREI MARTINHO","PB"
"23/78 - JUNCO DO SERIDO","AVENIDA BALDUÍNO GUEDES, Nº 798, CEP 58640-000","CENTRO",,"83 998536836","JUNCO DO SERIDO","PB"
"23/101 - NOVA FLORESTA","RUA BENEDITO MARINHO, 219, CEP 58178-000","CENTRO","58178000","(83) 3374 1001/ 83 99901-6909","NOVA FLORESTA","PB"
"23/105 - OLIVEDOS","RUA ANANIAS DOS ANJOS, N° 41, CEP 58160-000","CENTRO",,"83 3389 1102","OLIVEDOS","PB"
"23/112 - PEDRA LAVRADA","RUA ELIOMAR CORDEIRO DE SOUZA, 99 , CEP 58180-000","CENTRO",,"(83)98893-7753","PEDRA LAVRADA","PB"
"23/114 - PICUI","RUA ANTONIO FIRMINO DE MACEDO, 344 , BLOCO C, CEP 58187-000","MONTE SANTO",,"(83)99812-2431","PICUI","PB"
"23/120 - POCINHOS","RUA 10 DE DEZEMBRO, 210, CEP: 58150-000","CENTRO",,"(83)993073248","POCINHOS","PB"
"23/124 - PUXINANA","AV. 28 DE JANEIRO, 26, CEP 58115-000 ","CENTRO",,"(83) 987568893","PUXINANA","PB"
"23/127 - REMIGIO","AV. PREFEITO JOAQUIM CAVALCANTE DE MORAIS 91 , CEP 58398-000","CENTRO",,"(83) 99980-9580","REMIGIO","PB"
"23/151 - SAO SEBASTIAO LAGOA DE ROCA","RUA JOSÉ RODRIGUES COURA, 53,   CEP: 58119-000","CENTRO",,"83 99659-7443","SAO SEBASTIAO DE LAGOA DE ROCA","PB"
"23/158 - SERRA REDONDA","JSM SUSPENSA",,,,"SERRA REDONDA","PB"
"23/170 - UMBUZEIRO","QUINTINO BOCAIUVA,84","CENTRO",,"83 98204-4553","UMBUZEIRO","PB"
"23/173 - GADO BRAVO","RUA JOSÉ MARIANO BARBOSA, S/Nº, CEP 58.492-000","CENTRO",,"83 981239636","GADO BRAVO","PB"
"23/42 - CATINGUEIRA","RUA INÁCIO FELIX DE OLIVEIRA, SNº","CENTRO","58715000","34271227","CATINGUEIRA","PB"
"23/56 - DIAMANTE","RUA POSSIDONIO JOSE DA COSTA, 58, CEP 58.994-000","CENTRO",,"83 987017929","DIAMANTE","PB"
"23/59 - EMAS","AV VICE PREFEITO JOÃO KENNEDY GOMES BATISTA, N 02, CEP 58763-000","CENTRO",,"83 998579767","EMAS","PB"
"23/80 - JURU","JSM SUSPENSA",,,,"JURU","PB"
"23/90 - MANAIRA","RUA JOSÉ ROSAS, S/N, CEP 58995-000","CENTRO",,"83 998609462","MANAIRA","PB"
"23/102 - NOVA OLINDA","RUA DUQUE DE CAXIAS, S/N  CEP: 58798-000","CENTRO - NOVA OLINDA - PB",,"83 999443002","NOVA OLINDA","PB"
"23/108 - PATOS","RUA BOSSUET WANDERLEY, Nº 748, CEP 58700-000","BRASILIA",,"83 3423 3624","PATOS","PB"
"23/113 - PIANCO","VALDEMAR COSTA FILHO 154","CENTRO",,"83 - 993989180","PIANCO","PB"
"23/134 - SANTA LUZIA","CORONEL FRANCISCO ANTONIO  86, CEP 58600-000","CENTRO",,"(83)99961-8362","SANTA LUZIA","PB"
"23/136 - SANTA TERESINHA","RUA JOSÉ NUNES 11, CEP 58720-000","CENTRO - SANTA TEREZINHA PB",,"(83)98158-0080","SANTA TERESINHA","PB"
"23/137 - SANTANA DOS GARROTES","RUA IZIDRO ARAUJO PASSOS S/N , CEP 58795-000","CENTRO",,"(83)9995-1779","SANTANA DOS GARROTES","PB"
"23/149 - SAO MAMEDE","RUA JANUNCIO NÓBREGA NR 01 CEP 58.625-000","CENTRO",,"83 3462-1238","SAO MAMEDE","PB"
"23/166 - TAVARES","RUA ANA PEREIRA LIMA, SNº CEP: 58.753-000","CENTRO - TAVARES/PB",,"83 34501041","TAVARES","PB"
"23/47 - CONGO","RUA SENADOR RUI CARNEIRO, 38, CEP 58.535-000","CENTRO",,"(83) 3359-1100","CONGO","PB"
"23/65 - GURJAO","RUA: VICENTE BORGES GURJAO, NR 158, CEP 58.670-000","CENTRO",,"83-987053750","GURJAO","PB"
"23/106 - OURO VELHO","RUA CORONEL SERGIO DANTAS","Centro","58560000","83 999018727","OURO VELHO","PB"
"23/140 - SAO JOAO DO CARIRI","RUA JOÃO PESSOA, 121 , CEP 58590-000","CENTRO","58590000","(83)3355-1188/98753-5336","SAO JOAO DO CARIRI","PB"
"23/143 - SAO JOSE DOS CORDEIROS","RUA ANTERO TORREÃO, 42, CEP 58570-000","CENTRO",,"(83)3309-1056","SAO JOSE DOS CORDEIROS","PB"
"23/155 - SERRA BRANCA","RUA MANOEL GAUDÊNCIO NETO, S/N, CEP 58.580-000","CENTRO",,"(83)99847-2353","SERRA BRANCA","PB"
"23/163 - SUME","AV. 1º DE ABRIL, 713","CENTRO",,"(83) 3353-2525","SUME","PB"
"23/178 - AMPARO","RUA VEREADOR CÍCERO SOARES, SNº, CEP 58.548-000","CENTRO",,"(83)3305-0037","AMPARO","PB"
"23/7 - SAO JOAO DO RIO DO PEIXE","RUA GALDINO FERREIRA FORMIGA, S/Nº CEP 58.910-000","CENTRO",,"83 9 9622-4225","SAO JOAO DO RIO DO PEIXE","PB"
"23/20 - BELEM DO BREJO DO CRUZ","RUA CÔNEGO JOSÉ VIANA, S/NR, CEP 58.895-000","CENTRO",,"83 99980-2020","BELEM DO BREJO DO CRUZ","PB"
"23/24 - BONITO DE SANTA FE","RUA QUERUBINA PEREIRA, S/Nº CEP 58.960-000","CENTRO",,"83 99814-0621","BONITO DE SANTA FE","PB"
"23/28 - BREJO DO CRUZ","RUA BERNARDINO SOARES PRIMO, 49, CEP 58.890-000","CENTRO",,"83 999959903","BREJO DO CRUZ","PB"
"23/29 - BREJO DOS SANTOS","RUA JOSÉ PEDRO DA SILVA, 53 CEP 58.890-000","CENTRO",,"83 99947-1641 ","BREJO DOS SANTOS","PB"
"23/37 - CAJAZEIRAS","CALÇADÃO TENENTE SABINO, 87, CEP 58.253-000","CENTRO",,"83 993000250-83 999781028","CAJAZEIRAS","PB"
"23/43 - CATOLE DO ROCHA","PRAÇA SÉRGIO MAIA, 66, CEP 58.884-000","CENTRO",,"83-998782428","CATOLE DO ROCHA","PB"
"7/332 - PALMAS","AV.TEOTONIO SEGURADO - QUADRA 401 SUL - CJ 01 -  LOTE 19 A","PLANO DIRETOR SUL",,"(63) 21112774","PALMAS","TO"
"27/9 - ARARI","AV DR JOÃO DA SILVA LIMA, S/N","CENTRO",,"34531140","ARARI","MA"
"27/26 - CANTANHEDE","AV RIO BRANCO, S/N","CENTRO","65465000","98 985006902","CANTANHEDE","MA"
"27/50 - IGARAPE GRANDE","RUA JOÃO FRANCISCO, S/N - CEP: 65720000","CENTRO",,"99981951480","IGARAPE GRANDE","MA"
"27/54 - JOSELANDIA","PRAÇA DO MERCADO, 39","CENTRO",,"99 98424-0083","JOSELANDIA","MA"
"23/74 - JERICO","PRAÇA FREI DAMIÃO, S/N, CEP 58.830-000","CENTRO",,"83 996081695","JERICO","PB"
"23/44 - CONCEICAO","CENTRO ADMINISTRATIVO WILSON BRAGA, S/Nº, CEP 58.970-000","CENTRO",,"83 998782428/83 986903938","CONCEICAO","PB"
"23/81 - LAGOA","PRAÇA DEPUTADO FRANCISCO PEREIRA, 2, CEP 58.835-000","CENTRO",,"93 999950231","LAGOA","PB"
"23/84 - LASTRO","RUA RAIMUNDO ABRANTES FERREIRA, N° 63, CEP 58.820-000","CENTRO",,"83 98157-7089","LASTRO","PB"
"23/96 - MONTE HOREBE","RUA PEDRO GONDIM, 220, CEP 58.950-000","CENTRO",,"(83) 998402328","MONTE HOREBE","PB"
"23/100 - NAZAREZINHO","RUA JOSÉ GONÇALVES BRAGA, S/N, CEP 58817-000","CENTRO",,"83 98107 0227","NAZAREZINHO","PB"
"23/121 - POMBAL","RUA PROJETADA S/N , CEP 58840-000","VIDA NOVA",,"83 99621-3338","POMBAL","PB"
"23/133 - SANTA HELENA","RUA GONÇALO JOSÉ VITORIANO, 236","CENTRO","58925000","(83)99914-4232","SANTA HELENA","PB"
"23/139 - SAO BENTO","PRAÇA PEDRO EULAMPIO DA SILVA, 52 ,CEP 58865-000","CENTRO",,"83 999619327, 996595150","SAO BENTO","PB"
"23/144 - SAO JOSE DE CAIANA","RUA DO COMÉRCIO, SNº","CENTRO","58784000","34891102","SAO JOSE DE CAIANA","PB"
"23/146 - SAO JOSE DA LAGOA TAPADA","RUA FRANCISCA TOMAZ DA SILVA, 54","CENTRO",,"(83)981251306","SAO JOSE DA LAGOA TAPADA","PB"
